Cavity No,FTT,QV1,QV2,QV3,QV5,Qty,Final
Cav11,5.9,1.0,0.0,0.2,0.3,3433,0.4
Cav15,7.3,0.2,0.0,0.6,0.4,1449,0.3
Cav15,8.5,0.1,0.3,0.1,0.4,6690,0.2
Cav15,9.7,0.0,0.0,0.0,0.0,2937,0.1
Cav15,17.0,0.7,1.0,0.7,6.3,2037,1.8
Cav15,11.1,1.2,0.5,0.5,1.1,4808,0.8
Cav15,15.6,5.1,2.7,3.0,2.7,5007,3.4
Cav15,11.0,1.4,0.6,0.4,0.0,1958,0.8
Cav15,7.9,1.1,0.9,0.8,1.0,6171,0.8
Cav15,10.0,1.1,1.0,0.3,0.1,6947,0.6
Cav15,10.5,1.5,0.2,0.4,0.8,3063,0.7
Cav15,12.7,1.7,0.9,0.3,0.2,4935,0.7
Cav15,12.0,3.1,0.7,1.0,0.1,4159,1.1
Cav15,12.8,1.7,1.8,0.8,0.6,3181,1.0
Cav9,12.7,2.6,0.6,1.5,0.4,1999,1.3
Cav9,7.2,0.3,0.5,0.1,0.0,4357,0.2
Cav9,11.0,1.1,0.4,1.0,0.9,4848,1.7
Cav9,13.0,1.3,0.5,1.3,0.8,6135,0.9
Cav9,13.6,0.8,0.0,0.9,0.3,2828,0.5
Cav9,17.4,3.7,2.6,2.8,3.9,1851,2.8
Cav9,11.6,0.9,0.4,0.2,0.3,6994,0.4
Cav9,13.3,1.3,0.4,1.1,0.6,1498,0.9
Cav9,10.4,3.5,0.5,0.8,1.1,4323,0.9
Cav9,13.4,3.6,2.2,1.4,1.0,1864,2.1
Cav9,10.2,2.9,0.4,0.9,0.7,2059,1.2
