Cavity No,FTT,QV1,QV2,QV3,QV5,Qty,Final
Cav13,9.9,0,0,0,1.5,931,1.3
Cav13,6.2,0.6,0.6,0.9,0.3,5188,1.3
Cav13,2.3,0.7,0.7,0.4,0.4,3690,1.2
Cav13,3.7,0.8,0.8,0.3,0.2,5275,0.8
Cav13,7.3,0,0.8,0,0,454,0.7
Cav13,5.5,1.6,0.2,0,0,1606,1.2
Cav13,4,0.6,0.4,0,0.4,3223,0.8
Cav13,5.4,1.4,0.2,0.1,0.3,7683,1.4
Cav13,3.5,0.3,0,0,0,1416,1.1
Cav13,6.2,2.1,0.7,0.9,4.8,7000,2.5
Cav13,3.5,1.2,0.2,0.1,0.3,7318,1
Cav13,4.5,1.5,0.2,0.1,0.2,8403,1.5
Cav12,3.9,0.8,0,0,0,1431,0.9
Cav12,9.4,1.2,0,0.3,0,1518,1
Cav12,4.1,0.2,0.2,0,0.5,1873,1.3
Cav12,1.6,0.6,0.7,0.5,0.4,1617,1.3
Cav12,3.7,0.7,0.6,0.1,0,3126,1.1
Cav12,3.9,0.7,0,0,0.4,2336,1.1
Cav12,8.3,1.6,0.2,0,0.7,2774,1.7
Cav12,10.3,9.3,1,4.9,0.4,7365,4.5
Cav12,5.6,0.9,0.3,1.4,0.3,1314,1.4
Cav12,7.3,1.6,0.1,0.1,0.5,6483,1.3
Cav12,6.6,4.5,2.4,2.8,8,2200,4.7
Cav12,8.5,2.2,2,0.7,1.7,1433,2.3
Cav12,5.2,1.1,0.2,0.3,0.1,8665,1.2
Cav12,5,1.2,0.2,0.1,0.2,1184,1
Cav11,7.4,0.4,0,0,0,1572,1.6
Cav11,11.9,1.6,1.3,1.4,0.9,4023,2
Cav11,9.3,2.1,1.1,0.9,0.9,7919,2.1
Cav11,4.9,0.7,0.4,0,0,1168,0.6
Cav11,6,0.5,0.1,0.7,0.3,6983,1.6
Cav11,4.7,0.4,0.1,0.3,0.8,6690,1
Cav11,5.3,1,0.7,0.9,0.4,5670,1.7
Cav16,4.8,0.8,0.1,0.1,0.0,2861,0.9
Cav16,2.5,0.6,0.7,0.5,0.4,3780,1.3
Cav16,4.3,0.7,0.3,0.1,0.1,6775,0.9
Cav16,8.1,0.8,0.6,14.2,0.5,4723,4.6
Cav16,7.0,1.1,0.3,0.3,0.4,8289,1.4
Cav16,5.7,1.6,0.0,0.0,0.0,1507,2.4
Cav16,11.9,0.4,1.6,1.7,2.5,987,2.4
Cav16,3.8,0.6,0.0,0.3,0.0,1214,1.2
Cav16,4.9,2.0,1.1,1.7,1.7,6780,2.4
